RBP ,Motif ID
A1CF,M001_0.6
A2BP1,M159_0.6
A2BP1,M298_0.6
A2BP1,37_16537540
A2BP1,36_12574126
A2BP1,M297_0.6
ACO1,M256_0.6
ACO1,1213_8021254
ANKHD1,M002_0.6
ANKRD17,M002_0.6
B52,802_9111335
B52,M334_0.6
BRUNOL4,M004_0.6
BRUNOL5,M157_0.6
BRUNOL6,M178_0.6
BX511012.1,M019_0.6
BX511012.1,M086_0.6
BX511012.1,M087_0.6
BX511012.1,M088_0.6
CELF3,M004_0.6
CELF3,M079_0.6
CELF3,M157_0.6
CELF3,M178_0.6
CELF3,M229_0.6
CIRBP,M048_0.6
CNOT4,M147_0.6
CPEB2,M012_0.6
CPEB3,M012_0.6
CPEB3,M120_0.6
CPEB3,M149_0.6
CPEB4,M149_0.6
CSDA,M081_0.6
CSDA,M082_0.6
CSDA,M111_0.6
CSDA,M250_0.6
CSDA,M254_0.6
CSDA,M260_0.6
CSDA,114_7499328
CSDA,115_7499328
CSDA,130_11376140
DAZAP1,M013_0.6
EIF2S1,M231_0.6
EIF4B,M290_0.6
EIF4B,M291_0.6
EIF4B,M292_0.6
EIF4B,350_8846295
EIF4B,351_8846295
EIF4B,352_8846295
ELAVL1,M031_0.6
ELAVL1,M108_0.6
ELAVL1,M112_0.6
ELAVL1,M127_0.6
ELAVL1,M232_0.6
ELAVL1,M327_0.6
ELAVL1,714_14981256
ELAVL1,1170_19561594
ELAVL2,M328_0.6
ELAVL2,M329_0.6
ELAVL2,M330_0.6
ELAVL2,782_8497264
ELAVL2,783_7972035
ELAVL2,784_7972035
ELAVL3,M031_0.6
ELAVL3,M108_0.6
ELAVL3,M112_0.6
ELAVL3,M124_0.6
ELAVL3,M127_0.6
ELAVL3,M232_0.6
ELAVL3,M313_0.6
ELAVL3,M314_0.6
ELAVL3,M315_0.6
ELAVL3,M327_0.6
ELAVL3,M328_0.6
ELAVL3,M329_0.6
ELAVL3,M330_0.6
ELAVL3,714_14981256
ELAVL3,782_8497264
ELAVL3,783_7972035
ELAVL3,784_7972035
ELAVL3,619_19846595
ELAVL4,M313_0.6
ELAVL4,M314_0.6
ELAVL4,M315_0.6
ELAVL4,619_19846595
ENOX1,M140_0.6
ENOX2,M140_0.6
ENSG00000180771,M070_0.6
ENSG00000180771,M274_0.6
ENSG00000180771,M332_0.6
ENSG00000180771,M352_0.6
ENSG00000180771,244_7543047
ENSG00000180771,791_10094314
ENSG00000180771,953_7543047
ENSG00000213250,M055_0.6
ENSG00000213250,M143_0.6
ENSG00000213250,M164_0.6
ENSG00000215042,M027_0.6
ENSG00000215042,M089_0.6
ENSG00000215492,M022_0.6
ENSG00000215492,M023_0.6
ENSG00000215492,M024_0.6
ENSG00000215492,M271_0.6
ENSG00000215492,M312_0.6
ENSG00000215492,23_7510636
ENSG00000215492,560_17925491
ENSG00000231942,M022_0.6
ENSG00000231942,M023_0.6
ENSG00000231942,M271_0.6
ENSG00000231942,M312_0.6
ENSG00000231942,23_7510636
ENSG00000231942,560_17925491
ENSG00000248163,M323_0.6
ENSG00000248163,M325_0.6
ENSG00000248163,M326_0.6
ENSG00000248163,680_9789075
ENSG00000248163,682_10811881
ENSG00000248163,685_18978773
ENSG00000249536,M002_0.6
ENSG00000249644,M323_0.6
ENSG00000249644,M325_0.6
ENSG00000249644,M326_0.6
ENSG00000249644,680_9789075
ENSG00000249644,682_10811881
ENSG00000249644,685_18978773
ENSG00000250177,M042_0.6
ENSG00000250177,M146_0.6
ENSG00000250177,M275_0.6
ENSG00000250177,M349_0.6
ENSG00000250177,24_7908267
ENSG00000250177,950_7908267
ESRP1,M141_0.6
ESRP2,M141_0.6
FMR1,M016_0.6
FMR1,M304_0.6
FMR1,M305_0.6
FMR1,471_15805463
FUBP1,M339_0.6
FUBP1,M340_0.6
FUBP1,M341_0.6
FUBP1,M342_0.6
FUBP1,906_17437629
FUS,M316_0.6
FUS,637_11098054
FXR1,M152_0.6
FXR2,M020_0.6
G3BP1,M302_0.6
G3BP1,432_11604510
G3BP2,M021_0.6
HNRNPA1,M022_0.6
HNRNPA1,M271_0.6
HNRNPA1,M312_0.6
HNRNPA1,23_7510636
HNRNPA1,560_17925491
HNRNPA1L2,M023_0.6
HNRNPA2B1,M024_0.6
HNRNPA3,M022_0.6
HNRNPA3,M023_0.6
HNRNPA3,M024_0.6
HNRNPA3,M271_0.6
HNRNPA3,M312_0.6
HNRNPA3,23_7510636
HNRNPA3,560_17925491
HNRNPAB,M301_0.6
HNRNPAB,39_12419250
HNRNPC,M025_0.6
HNRNPCL1,M158_0.6
HNRNPD,M301_0.6
HNRNPD,39_12419250
HNRNPF,M151_0.6
HNRNPH1,M151_0.6
HNRNPH2,M151_0.6
HNRNPK,M026_0.6
HNRNPK,1217_15351640
HNRNPK,1218_15351640
HNRNPK,816_15351640
HNRNPL,M027_0.6
HNRNPL,M089_0.6
HNRNPLL,M169_0.6
HNRNPR,M236_0.6
HNRNPR,M242_0.6
HNRNPR,M243_0.6
HNRPDL,M210_0.6
HNRPDL,M301_0.6
HNRPDL,39_12419250
IGF2BP1,M293_0.6
IGF2BP1,M296_0.6
IGF2BP1,355_20371350
IGF2BP1,359_12507992
IGF2BP2,M032_0.6
IGF2BP2,M294_0.6
IGF2BP2,356_20371350
IGF2BP3,M163_0.6
IGF2BP3,M295_0.6
IGF2BP3,357_20371350
KHDRBS1,M160_0.6
KHDRBS2,M176_0.6
KHDRBS3,M033_0.6
KHDRBS3,1216_19457263
KHDRBS3,147_19457263
KHDRBS3,1174_19561594
KHSRP,M339_0.6
KHSRP,M340_0.6
KHSRP,M341_0.6
KHSRP,M342_0.6
KHSRP,906_17437629
KHSRP,1186_17893325
KHSRP,1185_17893325
LIN28A,M035_0.6
LIN28A,M153_0.6
LIN28B,M035_0.6
LIN28B,M153_0.6
MATR3,M036_0.6
MBNL1,M037_0.6
MBNL1,M320_0.6
MBNL1,669_20071745
MBNL2,M037_0.6
MBNL2,M320_0.6
MBNL2,669_20071745
